run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b,t_E,t50,q_dyn_mol_per_kg,L_MTZ_m,efficiency
May-22-2026-conc10-flow0.1,A,M01,Yoon-Nelson / Thomas / BA (logistic),True,340,2,0.0025119009085444446,-0.007745899876204998,-0.010727396621400764,0.002726107021511636,7.431659492735043e-06,-4013.324772639982,-4013.2891643313765,0.07515562922879958,0.13187564937870092,k_YN=4.53753e-06;tau=1e+06,k_YN=1.41646e-08;tau=6.48121e-20,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M02,Clark,True,340,3,0.002493984181204173,-0.0005579138951732343,-0.006495943057755804,0.0027163673211995807,7.400546531763125e-06,-4013.758593312478,-4013.6871647410494,0.09021076058516848,0.13196260355022593,r=1e-06;A=999955;n=4.04074,r=5.87363e-05;A=3.70843e-09;n=0.0168483,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M03,Fractal Clark,True,340,4,0.0024925980167486398,-1.8005780171304053e-06,-0.008930388083178142,0.0027156123334176724,7.418446478418571e-06,-4011.94761894499,-4011.8282159599157,0.037668360191654884,0.13196899013424826,r=1e-06;A0=853372;n=4.00608;h=0.99,r=0.224206;A0=0.000111882;n=86.6564;h=37100.9,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M04,Modified Dose-Response (Yan),True,340,2,0.012782318517324207,-4.128119916246786,-4.143291868661717,0.006149594328594744,3.7817510406284634e-05,-3460.136935798488,-3460.101327489883,6.118998681163274e-122,0.36638314552731926,a=0.688796;t50=1e+06,a=0.0696575;t50=658604,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M05,"Wolborska (linearised, early)",True,339,2,0.0023831684417854747,-0.0017362790990282928,-0.004708790312971889,0.0026592699081641343,7.071716444467284e-06,-4018.3450075282462,-4018.309293242532,0.5,0.1336214259854139,slope=1e-06;intercept=-4.54128,slope=1.88395e-05;intercept=0.0245442,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M06,Gudermannian (Hu 2021),True,340,2,0.0025101780906061186,-0.007054725034205678,-0.010034176883419121,0.0027251719942497123,7.426562398242955e-06,-4013.5580458011996,-4013.5224374925942,0.08367522873061464,0.1318837648538692,k=4.09605e-06;tau=1e+06,k=1.40136e-08;tau=5.78915e-20,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M07,Error-Function (Hu 2021),True,340,2,0.04098799630655586,-15.44391507705124,-15.492565713373878,0.011012096133888389,0.0001212662612619996,-3063.9633595601863,-3063.927751251581,5.736953654786394e-208,0.9970588235294118,k=0.773956;tau=438879,k=0;tau=0,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M08,Tanh (Hu 2019),True,340,2,0.00251190090797647,-0.00774589964834016,-0.010727396392861799,0.002726107021203431,7.4316594910546455e-06,-4013.3247727168605,-4013.289164408255,0.07515563190061277,0.1318764265025643,k=2.26876e-06;tau=1e+06,k=7.13387e-09;tau=1.644e-20,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M09,Log-Normal (Chu-Hashim),True,340,2,0.010825506592666574,-3.3430693646128518,-3.3559186822596354,0.005659339715356062,3.202812601380643e-05,-3516.6305806360137,-3516.5949723274084,1.1327119110426986e-109,0.3201356460539006,a=5;b=18.7075,a=0.519028;b=1.19603,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M10,Fractal Gudermannian (Hu 2024),True,340,3,0.0025101757672561283,-0.007053792932776526,-0.013030373306264886,0.002725170733078281,7.448592781175455e-06,-4011.5583604957487,-4011.4869319243203,0.031947862827731814,0.13188691540957437,k0=4.09604e-06;tau0=1e+06;h=1.48031e-43,k0=1.02475e-07;tau0=2.47022e-12;h=0.00367679,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M11,Fractal Error-Function (Hu 2024),True,340,3,0.002518990089259042,-0.010589998054726157,-0.016587564808760114,0.0027299511717564988,7.4747480393443384e-06,-4010.366563432361,-4010.2951348609326,0.017861598024454285,0.13185026190135524,k0=1.63028e-06;tau0=1e+06;h=1.25455e-66,k0=2.79345e-08;tau0=1.59676e-12;h=0.0024758,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M12,Gompertz (Chu 2020),True,340,2,0.002512147857244097,-0.007844972868578326,-0.010826762729136297,0.00272624102202825,7.432390110189636e-06,-4013.2913483792454,-4013.25574007064,0.07400223086374869,0.13187573148936146,alpha_G=1.51474;beta_G=1e-06,alpha_G=0.00556105;beta_G=4.25653e-06,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M13,Log-Gompertz (Chu 2020),True,340,2,0.0032051166634094507,-0.28585612799806315,-0.28966043606906333,0.0030793820287074135,9.482593678726185e-06,-3930.4638181904243,-3930.428209881819,8.257816278559075e-20,0.13051253943558477,alpha_G=1.522;beta_G=0.001,alpha_G=0.0206231;beta_G=0.00302904,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M14,Weibull (Chu 2021),True,340,2,0.012836298850081609,-4.149776208031698,-4.165012232315815,0.006162565661539504,3.7977215532785825e-05,-3458.7041230876516,-3458.6685147790463,2.989159109388881e-122,0.3673540456823018,tau=1e+06;k=0.689985,tau=658497;k=0.0698111,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M15,Avrami (Singh),True,340,2,0.004225680861987447,-0.6952948057655637,-0.700310470871379,0.003535818771455664,1.2502014384578244e-05,-3836.4769693201147,-3836.4413610115093,3.220181113008507e-40,0.1558634037550547,k=0.00531689;n=0.1,k=0.000855484;n=0.0233644,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M16,Klinkenberg,True,340,2,65.4112759349686,-26241.2553791474,-26318.895187961443,0.4399141791471377,0.1935244850147,-556.4053260943466,-556.3697177857413,9.85967654375977e-305,41.378100932284745,K_fa=1;K=9832.43,K_fa=0.0769391;K=2713.36,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M17,Dima (wave erf),True,340,2,0.0025189935415056387,-0.010591383056555381,-0.013581298391042385,0.00272995304243901,7.452643613922008e-06,-4012.3660974666386,-4012.3304891580333,0.04790695645520983,0.13185143471171945,v_d=1e-06;sigma_a=0.433733,v_d=3.17096e-06;sigma_a=0.00180133,converged,,,,0.0008891131184566211,,
May-22-2026-conc10-flow0.1,A,M18,Chern-Chien Langmuir,True,0,4,inf,,,inf,inf,inf,inf,,inf,K_fa=0.0030137;K_L=1;q0=1;t12=1327.27,K_fa=0;K_L=0;q0=0;t12=0,converged,,,,0.0008891131184566211,,
