run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b,t_E,t50,q_dyn_mol_per_kg,L_MTZ_m,efficiency
May-20-2026conc5_flow1.5,A,M01,Yoon-Nelson / Thomas / BA (logistic),True,297,2,3.1167254218698095,0.893267326723199,0.8929055210510742,0.1027870172813307,0.010565170921592575,-1349.4139220260884,-1349.3731056995578,1.029806191757162e-212,0.8855791269340665,k_YN=0.0913179;tau=2167.57,k_YN=0.0136795;tau=1.86304,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M02,Clark,True,297,3,7.990399694612915,0.726367708245364,0.7245062640837678,0.16457855467740867,0.027178230253785424,-1067.8009327078337,-1067.719021445035,7.1178396508866e-274,1.7364637556761355,r=0.00801402;A=665504;n=1.03138,r=0.00232893;A=1.46847e+07;n=0.537884,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M03,Fractal Clark,True,297,4,9.048814412211783,0.6901221565993466,0.6869493459160635,0.17513979319400816,0.030883325638948064,-1028.856222972902,-1028.7192366715321,2.41909285542742e-282,1.9774338680328356,r=0.0247715;A0=709180;n=1.05184;h=0.175662,r=3.18363;A0=2.83428e+08;n=2.40379;h=16.6335,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M04,Modified Dose-Response (Yan),True,297,2,8.801380208934473,0.6985955735357859,0.6975738636155683,0.17272865178924549,0.02983518714893042,-1041.090605544695,-1041.0497892181645,1.1513251819706597e-279,2.1683845546786364,a=20;t50=2147.14,a=2.16694;t50=11.2819,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M05,"Wolborska (linearised, early)",True,246,2,0.01897125460742398,-0.00038738180847563974,-0.004487330094576025,0.00881765521400384,7.775104347304909e-05,-2325.6598266026945,-2325.610443886645,0.5,0.10455369180806114,slope=1e-06;intercept=-3.99354,slope=7.30878e-05;intercept=0.105775,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M06,Gudermannian (Hu 2021),True,297,2,3.1231224991334305,0.8930482579683086,0.892685709690235,0.10289244835878805,0.010586855929265867,-1348.8049544240002,-1348.7641380974696,7.594861598307389e-213,0.8931857475082395,k=0.0765346;tau=2167.58,k=0.0119337;tau=1.84746,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M07,Error-Function (Hu 2021),True,297,2,3.1092636561507043,0.8935228558747171,0.893161916403106,0.10266390212976936,0.010539876800510863,-1350.1258235253913,-1350.0850071988607,1.4700866885366407e-212,0.8719719345655099,k=0.0375028;tau=2167.56,k=0.0052793;tau=1.8768,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M08,Tanh (Hu 2019),True,297,2,3.11672542202339,0.8932673267179396,0.892905521045797,0.10278701728386318,0.010565170922113187,-1349.4139220114535,-1349.3731056849228,1.0298061842216033e-212,0.8855784362974037,k=0.0456592;tau=2167.57,k=0.00683983;tau=1.86304,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M09,Log-Normal (Chu-Hashim),True,297,2,3.1095646198982703,0.8935125493314741,0.8931515749224282,0.10266887072820226,0.010540897016604305,-1350.097076555985,-1350.0562602294544,1.4491075528341464e-212,0.8707390218967692,a=0.00869273;b=7.68134,a=0.00122416;b=0.000865623,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
May-20-2026conc5_flow1.5,A,M10,Fractal Gudermannian (Hu 2024),True,297,3,34.870855082568575,-0.19415703298547893,-0.20228055021667268,0.34381141402735116,0.11860835062098155,-630.197984651842,-630.1160733890434,9.85967654375977e-305,0.9730639730639731,k0=0.773956;tau0=438879;h=0.850012,k0=0;tau0=0;h=0,converged,0.0,2197.071503125,0.0,0.0006757762015392597,0.1625,0.0
